,accuracy,accuracy_loss,compression,type,tar_type,repr,share_t,acc_t
58,0.968,1.66,9.744801,BH,K-Means,"[40, 15, 4, 4, 9]",0.37295532,0.54384303
59,0.9852,-0.06,5.4129024,BH,K-Means,"[23, 22, 22, 23, 21]",1.0347812,0.54551435
60,0.9848,-0.02,5.894006,BH,K-Means,"[41, 24, 26, 16, 9]",1.0624845,0.54271007
61,0.9844,0.02,5.7178483,BH,K-Means,"[16, 35, 19, 11, 23]",0.8700919,0.5421417
62,0.9828,0.18,6.596744,BH,K-Means,"[27, 15, 21, 19, 5]",0.9776654,0.54356885
63,0.9714,1.32,9.320491,BH,K-Means,"[26, 13, 6, 3, 8]",0.4610722,0.5467663
64,0.9586,2.6,9.372179,BH,K-Means,"[45, 14, 4, 3, 18]",0.37690735,0.53882813
65,0.96,2.46,9.286941,BH,K-Means,"[44, 15, 4, 3, 29]",0.38708854,0.5371394
66,0.985,-0.04,5.5179615,BH,K-Means,"[14, 12, 44, 34, 30]",1.4981806,0.53722167
67,0.9768,0.7799999999999999,7.241194,BH,K-Means,"[42, 35, 4, 29, 11]",0.5688088,0.5371313
68,0.9798,0.48,6.0338016,BH,K-Means,"[23, 22, 23, 5, 36]",1.0036287,0.5388715
69,0.9782,0.64,7.1888337,BH,K-Means,"[44, 36, 4, 13, 23]",0.5070944,0.5453789
70,0.9796,0.5,7.32109,BH,K-Means,"[15, 33, 4, 29, 25]",0.56061935,0.5481658
71,0.9838,0.08,5.4515,BH,K-Means,"[24, 28, 22, 16, 37]",1.0442567,0.54766107
72,0.9844,0.02,5.942316,BH,K-Means,"[16, 20, 31, 27, 14]",1.193949,0.5394759
73,0.986,-0.13999999999999999,5.3464203,BH,K-Means,"[38, 18, 20, 35, 13]",0.9968343,0.5344548
74,0.9848,-0.02,5.6886764,BH,K-Means,"[22, 25, 9, 27, 27]",0.7481227,0.535162
75,0.9854,-0.08,5.989191,BH,K-Means,"[35, 38, 34, 12, 7]",1.2314982,0.53179026
76,0.9816,0.3,7.099139,BH,K-Means,"[32, 17, 6, 20, 5]",0.5441401,0.5335808
77,0.9852,-0.06,5.8638535,BH,K-Means,"[36, 21, 16, 15, 23]",0.7825525,0.53295565
78,0.967,1.76,9.72532,BH,K-Means,"[40, 16, 4, 4, 10]",0.37581348,0.5344119
79,0.9842,0.04,5.399109,BH,K-Means,"[27, 22, 21, 19, 17]",0.9888437,0.5317457
80,0.9846,0.0,6.4497304,BH,K-Means,"[41, 20, 22, 12, 5]",0.9840069,0.5406625
81,0.985,-0.04,6.579073,BH,K-Means,"[12, 31, 20, 7, 20]",0.85929537,0.5437479
82,0.983,0.16,7.853024,BH,K-Means,"[31, 12, 17, 15, 4]",0.7350919,0.5329678
83,0.9542,3.04,10.410488,BH,K-Means,"[30, 14, 4, 3, 5]",0.3532138,0.53708696
84,0.9712,1.34,8.314646,BH,K-Means,"[41, 17, 4, 5, 14]",0.39230514,0.5347049
85,0.962,2.26,9.025651,BH,K-Means,"[42, 18, 4, 3, 25]",0.39726472,0.53748965
86,0.984,0.06,5.5476995,BH,K-Means,"[18, 15, 40, 30, 26]",1.4071066,0.5346625
87,0.9814,0.32,7.955597,BH,K-Means,"[41, 31, 4, 25, 7]",0.5353472,0.53411984
88,0.9764,0.8200000000000001,7.2444963,BH,K-Means,"[25, 18, 19, 3, 32]",0.7811358,0.5358679
89,0.9772,0.74,7.4409328,BH,K-Means,"[40, 32, 4, 9, 19]",0.46428084,0.5323076
90,0.979,0.5599999999999999,7.156293,BH,K-Means,"[19, 34, 4, 25, 23]",0.531955,0.5321362
91,0.9862,-0.16,5.4429636,BH,K-Means,"[28, 24, 18, 12, 33]",0.81374645,0.53190494
92,0.9836,0.1,5.8355923,BH,K-Means,"[20, 18, 27, 23, 10]",1.0813522,0.5349443
93,0.9836,0.1,6.2229,BH,K-Means,"[40, 14, 16, 31, 9]",0.844023,0.54609275
94,0.9798,0.48,6.2167416,BH,K-Means,"[26, 21, 5, 23, 23]",0.51835084,0.5472379
95,0.9828,0.18,6.7645392,BH,K-Means,"[39, 34, 30, 8, 5]",1.1388018,0.5448444
96,0.9764,0.8200000000000001,8.691074,BH,K-Means,"[36, 13, 4, 16, 6]",0.4299569,0.54592586
97,0.9832,0.13999999999999999,5.8902607,BH,K-Means,"[40, 17, 12, 11, 19]",0.71689916,0.5389216
98,0.9692,1.54,10.236902,BH,K-Means,"[43, 15, 4, 4, 6]",0.3702786,0.54042196
99,0.9844,0.02,5.710972,BH,K-Means,"[25, 21, 17, 15, 21]",0.7941153,0.5461843
100,0.982,0.26,8.244621,BH,K-Means,"[42, 16, 18, 8, 4]",0.7691674,0.5410187
101,0.9826,0.2,6.338311,BH,K-Means,"[16, 35, 16, 11, 16]",0.7495506,0.53393793
102,0.9832,0.13999999999999999,8.086186,BH,K-Means,"[35, 15, 13, 11, 4]",0.69007325,0.536263
103,0.9638,2.08,11.2871065,BH,K-Means,"[34, 16, 4, 3, 4]",0.3482299,0.53830314
104,0.9546,3.0,9.698956,BH,K-Means,"[43, 16, 4, 3, 11]",0.36717033,0.5383308
105,0.9684,1.6199999999999999,9.342205,BH,K-Means,"[45, 14, 4, 4, 21]",0.3816917,0.53928113
106,0.9844,0.02,5.3286037,BH,K-Means,"[22, 11, 36, 34, 22]",1.300446,0.53763366
107,0.9778,0.6799999999999999,8.976869,BH,K-Means,"[43, 27, 4, 21, 4]",0.48464012,0.53873014
108,0.9744,1.02,7.8529363,BH,K-Means,"[29, 14, 15, 3, 28]",0.7737706,0.5374241
109,0.972,1.26,8.289574,BH,K-Means,"[37, 28, 4, 5, 15]",0.41614795,0.5377903
110,0.9782,0.64,7.3165116,BH,K-Means,"[23, 30, 4, 29, 19]",0.5441363,0.53827524
111,0.9854,-0.08,6.4722714,BH,K-Means,"[28, 20, 14, 8, 29]",0.75425124,0.5404277
112,0.984,0.06,6.5587425,BH,K-Means,"[24, 15, 23, 19, 8]",1.0309005,0.5464587
113,0.9832,0.13999999999999999,6.7506857,BH,K-Means,"[44, 12, 12, 27, 5]",0.80483603,0.538383
114,0.977,0.76,7.2867136,BH,K-Means,"[30, 17, 4, 19, 19]",0.4481907,0.53506637
115,0.9788,0.58,7.998725,BH,K-Means,"[43, 30, 26, 4, 5]",1.0033624,0.5343745
116,0.9776,0.7000000000000001,8.65061,BH,K-Means,"[40, 12, 4, 12, 7]",0.40920496,0.5331905
117,0.9826,0.2,7.5227194,BH,K-Means,"[44, 13, 8, 7, 15]",0.52947474,0.5345907
118,0.9686,1.6,10.16489,BH,K-Means,"[45, 14, 4, 5, 4]",0.38572693,0.5382006
119,0.9826,0.2,6.036675,BH,K-Means,"[29, 17, 13, 11, 17]",0.70533204,0.53670645
120,0.9824,0.22,8.64795,BH,K-Means,"[44, 12, 14, 4, 6]",0.7189195,0.5337212
121,0.9848,-0.02,5.9170113,BH,K-Means,"[18, 39, 12, 9, 20]",0.72602844,0.5364537
122,0.9834,0.12,7.2735147,BH,K-Means,"[39, 18, 9, 7, 7]",0.61862254,0.5350158
123,0.9694,1.52,10.201234,BH,K-Means,"[38, 15, 4, 5, 4]",0.38381982,0.5381062
124,0.9634,2.12,10.206277,BH,K-Means,"[45, 15, 4, 3, 7]",0.36561918,0.53631496
125,0.9722,1.24,9.375468,BH,K-Means,"[46, 13, 4, 4, 17]",0.37958765,0.5357218
126,0.985,-0.04,5.507972,BH,K-Means,"[26, 13, 32, 36, 18]",1.2806239,0.5394614
127,0.979,0.5599999999999999,8.983102,BH,K-Means,"[45, 23, 4, 17, 4]",0.4537549,0.5377054
128,0.979,0.5599999999999999,7.808651,BH,K-Means,"[33, 12, 11, 4, 24]",0.6617346,0.54067016
129,0.9638,2.08,9.412037,BH,K-Means,"[38, 24, 4, 3, 11]",0.38235927,0.5388155
130,0.9776,0.7000000000000001,7.5494328,BH,K-Means,"[27, 26, 4, 28, 16]",0.5229573,0.53739834
131,0.9812,0.33999999999999997,7.8303533,BH,K-Means,"[32, 16, 10, 4, 25]",0.5725181,0.54098153
132,0.9828,0.18,6.913061,BH,K-Means,"[28, 13, 19, 15, 5]",0.80556464,0.5359173
133,0.9814,0.32,8.241734,BH,K-Means,"[45, 13, 8, 23, 4]",0.59541035,0.5346794
134,0.9796,0.5,8.116371,BH,K-Means,"[34, 13, 4, 15, 15]",0.41287827,0.5338075
135,0.9744,1.02,8.001909,BH,K-Means,"[46, 26, 22, 3, 5]",0.94221354,0.53650117
136,0.9732,1.1400000000000001,9.210168,BH,K-Means,"[40, 16, 4, 8, 5]",0.3923676,0.53508735
137,0.958,2.6599999999999997,9.704698,BH,K-Means,"[47, 11, 4, 3, 11]",0.3553331,0.53773427
138,0.9698,1.48,10.204782,BH,K-Means,"[41, 14, 4, 4, 8]",0.3730197,0.5405009
139,0.9842,0.04,7.0891895,BH,K-Means,"[33, 13, 9, 7, 13]",0.62137437,0.5383334
140,0.9736,1.0999999999999999,8.6052475,BH,K-Means,"[44, 12, 10, 3, 8]",0.5661659,0.53617716
141,0.9794,0.52,6.6724157,BH,K-Means,"[22, 35, 16, 5, 16]",0.7397635,0.53964496
142,0.9732,1.1400000000000001,9.113413,BH,K-Means,"[40, 16, 5, 7, 4]",0.40574193,0.5361743
143,0.9734,1.1199999999999999,10.179252,BH,K-Means,"[42, 14, 4, 6, 4]",0.3700366,0.5391984
144,0.9694,1.52,10.176292,BH,K-Means,"[42, 15, 4, 5, 4]",0.38508654,0.5380981
145,0.9678,1.68,8.625726,BH,K-Means,"[42, 14, 4, 5, 13]",0.3996222,0.5384462
146,0.985,-0.04,5.386699,BH,K-Means,"[25, 17, 28, 32, 22]",1.1690235,0.5361929
147,0.9772,0.74,8.328759,BH,K-Means,"[44, 19, 4, 13, 6]",0.42758942,0.53476477
148,0.9766,0.8,7.2647667,BH,K-Means,"[37, 16, 7, 5, 20]",0.5228183,0.5366385
149,0.968,1.66,9.919881,BH,K-Means,"[41, 20, 4, 3, 7]",0.37386608,0.5361197
150,0.9782,0.64,7.5757837,BH,K-Means,"[31, 22, 4, 24, 12]",0.49048495,0.53380275
151,0.9726,1.2,8.335222,BH,K-Means,"[36, 13, 6, 3, 22]",0.47343946,0.5376501
152,0.9826,0.2,8.167785,BH,K-Means,"[32, 12, 15, 11, 4]",0.79875636,0.5362644
153,0.9774,0.72,9.317625,BH,K-Means,"[42, 15, 4, 19, 4]",0.44425154,0.5367334
154,0.9744,1.02,8.140968,BH,K-Means,"[38, 14, 4, 11, 11]",0.40445638,0.5384288
155,0.9742,1.04,7.990806,BH,K-Means,"[46, 22, 18, 3, 6]",0.7600465,0.53964925
